gene,number_of_tissues
ENSMUSG00000002668,46
ENSMUSG00000002679,91
ENSMUSG00000002688,61
ENSMUSG00000002699,68
ENSMUSG00000002718,91
ENSMUSG00000002728,91
ENSMUSG00000002731,91
ENSMUSG00000002732,88
ENSMUSG00000002733,91
ENSMUSG00000002741,91
ENSMUSG00000002748,91
ENSMUSG00000002763,91
ENSMUSG00000002767,91
ENSMUSG00000002768,91
ENSMUSG00000002769,31
ENSMUSG00000002771,11
ENSMUSG00000002778,91
ENSMUSG00000002781,91
ENSMUSG00000002797,90
ENSMUSG00000002799,57
ENSMUSG00000002803,91
ENSMUSG00000002804,91
ENSMUSG00000002808,75
ENSMUSG00000002812,91
ENSMUSG00000002814,91
ENSMUSG00000002820,91
ENSMUSG00000002825,90
ENSMUSG00000002831,51
ENSMUSG00000002833,91
ENSMUSG00000002835,79
ENSMUSG00000002844,91
ENSMUSG00000002845,91
ENSMUSG00000002847,49
ENSMUSG00000002870,90
ENSMUSG00000002871,91
ENSMUSG00000002881,90
ENSMUSG00000002885,91
ENSMUSG00000002897,91
ENSMUSG00000002900,76
ENSMUSG00000002908,7
ENSMUSG00000002910,91
ENSMUSG00000002930,18
ENSMUSG00000002944,60
ENSMUSG00000002948,91
ENSMUSG00000002949,91
ENSMUSG00000002957,91
ENSMUSG00000002963,91
ENSMUSG00000002968,91
ENSMUSG00000002980,80
ENSMUSG00000002981,91
ENSMUSG00000002983,74
ENSMUSG00000002984,91
ENSMUSG00000002985,86
ENSMUSG00000002992,35
ENSMUSG00000002996,91
ENSMUSG00000002997,82
ENSMUSG00000003031,91
ENSMUSG00000003032,87
ENSMUSG00000003033,91
ENSMUSG00000003037,91
ENSMUSG00000003039,91
ENSMUSG00000003051,42
ENSMUSG00000003053,15
ENSMUSG00000003062,91
ENSMUSG00000003068,91
ENSMUSG00000003070,58
ENSMUSG00000003072,91
ENSMUSG00000003099,91
ENSMUSG00000003119,91
ENSMUSG00000003123,91
ENSMUSG00000003131,91
ENSMUSG00000003134,83
ENSMUSG00000003153,73
ENSMUSG00000003154,91
ENSMUSG00000003161,91
ENSMUSG00000003166,91
ENSMUSG00000003178,90
ENSMUSG00000003184,91
ENSMUSG00000003190,91
ENSMUSG00000003199,91
ENSMUSG00000003200,91
ENSMUSG00000003206,58
ENSMUSG00000003208,91
ENSMUSG00000003226,91
ENSMUSG00000003227,10
ENSMUSG00000003233,91
ENSMUSG00000003234,91
ENSMUSG00000003235,91
ENSMUSG00000003269,91
ENSMUSG00000003271,33
ENSMUSG00000003273,51
ENSMUSG00000003279,47
ENSMUSG00000003282,61
ENSMUSG00000003283,66
ENSMUSG00000003299,91
ENSMUSG00000003308,91
ENSMUSG00000003309,48
ENSMUSG00000003316,91
ENSMUSG00000003341,4
ENSMUSG00000003344,91
ENSMUSG00000003345,91
ENSMUSG00000003348,91
ENSMUSG00000003352,79
ENSMUSG00000003354,36
ENSMUSG00000003355,72
ENSMUSG00000003360,91
ENSMUSG00000003363,91
ENSMUSG00000003378,69
ENSMUSG00000003379,34
ENSMUSG00000003380,91
ENSMUSG00000003382,91
ENSMUSG00000003402,91
ENSMUSG00000003410,30
ENSMUSG00000003411,60
ENSMUSG00000003418,45
ENSMUSG00000003420,86
ENSMUSG00000003421,91
ENSMUSG00000003423,91
ENSMUSG00000003429,91
ENSMUSG00000003436,36
ENSMUSG00000003437,91
ENSMUSG00000003438,91
ENSMUSG00000003444,90
ENSMUSG00000003452,80
ENSMUSG00000003458,91
ENSMUSG00000003464,91
ENSMUSG00000003469,41
ENSMUSG00000003476,6
ENSMUSG00000003477,33
ENSMUSG00000003484,8
ENSMUSG00000003500,90
ENSMUSG00000003505,3
ENSMUSG00000003518,87
ENSMUSG00000003526,86
ENSMUSG00000003527,91
ENSMUSG00000003528,91
ENSMUSG00000003531,91
ENSMUSG00000003534,83
ENSMUSG00000003541,91
ENSMUSG00000003545,57
ENSMUSG00000003546,91
ENSMUSG00000003549,91
ENSMUSG00000003555,14
ENSMUSG00000003559,86
ENSMUSG00000003573,86
ENSMUSG00000003575,88
ENSMUSG00000003581,91
ENSMUSG00000003585,71
ENSMUSG00000003604,91
ENSMUSG00000003617,70
ENSMUSG00000003623,91
ENSMUSG00000003644,86
ENSMUSG00000003657,31
ENSMUSG00000003660,91
ENSMUSG00000003662,91
ENSMUSG00000003665,2
ENSMUSG00000003680,90
ENSMUSG00000003721,91
ENSMUSG00000003731,91
ENSMUSG00000003746,90
ENSMUSG00000003752,89
ENSMUSG00000003762,91
ENSMUSG00000003778,91
ENSMUSG00000003779,74
ENSMUSG00000003808,91
ENSMUSG00000003809,90
ENSMUSG00000003810,91
ENSMUSG00000003812,91
ENSMUSG00000003813,91
ENSMUSG00000003814,91
ENSMUSG00000003824,69
ENSMUSG00000003847,91
ENSMUSG00000003848,91
ENSMUSG00000003849,82
ENSMUSG00000003863,56
ENSMUSG00000003865,91
ENSMUSG00000003868,91
ENSMUSG00000003872,29
ENSMUSG00000003873,91
ENSMUSG00000003882,41
ENSMUSG00000003923,91
ENSMUSG00000003929,90
ENSMUSG00000003934,44
ENSMUSG00000003948,91
ENSMUSG00000003949,76
ENSMUSG00000003955,91
ENSMUSG00000003970,91
ENSMUSG00000003974,21
ENSMUSG00000003992,86
ENSMUSG00000004018,90
ENSMUSG00000004032,85
ENSMUSG00000004035,77
ENSMUSG00000004038,15
ENSMUSG00000004040,91
ENSMUSG00000004043,86
ENSMUSG00000004044,81
ENSMUSG00000004054,91
ENSMUSG00000004056,91
ENSMUSG00000004069,91
ENSMUSG00000004070,91
ENSMUSG00000004096,91
ENSMUSG00000004098,59
ENSMUSG00000004099,91
ENSMUSG00000004100,91
ENSMUSG00000004105,80
