gene,number_of_tissues
ENSMUSG00000032782,89
ENSMUSG00000032783,66
ENSMUSG00000032786,91
ENSMUSG00000032788,91
ENSMUSG00000032796,53
ENSMUSG00000032802,86
ENSMUSG00000032803,91
ENSMUSG00000032806,89
ENSMUSG00000032807,16
ENSMUSG00000032808,5
ENSMUSG00000032812,91
ENSMUSG00000032815,70
ENSMUSG00000032816,64
ENSMUSG00000032818,2
ENSMUSG00000032826,67
ENSMUSG00000032827,76
ENSMUSG00000032834,89
ENSMUSG00000032839,61
ENSMUSG00000032840,91
ENSMUSG00000032841,71
ENSMUSG00000032842,91
ENSMUSG00000032845,12
ENSMUSG00000032846,91
ENSMUSG00000032849,84
ENSMUSG00000032850,60
ENSMUSG00000032852,8
ENSMUSG00000032854,38
ENSMUSG00000032855,91
ENSMUSG00000032860,64
ENSMUSG00000032864,6
ENSMUSG00000032867,91
ENSMUSG00000032869,91
ENSMUSG00000032870,91
ENSMUSG00000032872,91
ENSMUSG00000032875,70
ENSMUSG00000032878,46
ENSMUSG00000032883,91
ENSMUSG00000032890,47
ENSMUSG00000032892,81
ENSMUSG00000032897,91
ENSMUSG00000032898,90
ENSMUSG00000032899,29
ENSMUSG00000032900,1
ENSMUSG00000032902,91
ENSMUSG00000032905,91
ENSMUSG00000032908,51
ENSMUSG00000032911,68
ENSMUSG00000032913,91
ENSMUSG00000032915,25
ENSMUSG00000032921,2
ENSMUSG00000032925,45
ENSMUSG00000032932,91
ENSMUSG00000032936,31
ENSMUSG00000032937,2
ENSMUSG00000032939,91
ENSMUSG00000032940,29
ENSMUSG00000032942,22
ENSMUSG00000032946,75
ENSMUSG00000032948,2
ENSMUSG00000032952,91
ENSMUSG00000032959,91
ENSMUSG00000032965,87
ENSMUSG00000032966,91
ENSMUSG00000032968,10
ENSMUSG00000032978,17
ENSMUSG00000032985,28
ENSMUSG00000032988,2
ENSMUSG00000032997,86
ENSMUSG00000032998,91
ENSMUSG00000032999,1
ENSMUSG00000033004,91
ENSMUSG00000033006,46
ENSMUSG00000033009,91
ENSMUSG00000033014,91
ENSMUSG00000033016,91
ENSMUSG00000033020,91
ENSMUSG00000033021,91
ENSMUSG00000033022,79
ENSMUSG00000033029,73
ENSMUSG00000033031,59
ENSMUSG00000033032,73
ENSMUSG00000033033,84
ENSMUSG00000033039,91
ENSMUSG00000033044,9
ENSMUSG00000033047,91
ENSMUSG00000033053,10
ENSMUSG00000033054,91
ENSMUSG00000033055,91
ENSMUSG00000033059,91
ENSMUSG00000033060,79
ENSMUSG00000033061,37
ENSMUSG00000033063,19
ENSMUSG00000033065,87
ENSMUSG00000033066,82
ENSMUSG00000033068,91
ENSMUSG00000033075,91
ENSMUSG00000033080,3
ENSMUSG00000033082,42
ENSMUSG00000033083,82
ENSMUSG00000033088,91
ENSMUSG00000033099,91
ENSMUSG00000033102,80
ENSMUSG00000033105,91
ENSMUSG00000033106,91
ENSMUSG00000033107,74
ENSMUSG00000033111,91
ENSMUSG00000033114,61
ENSMUSG00000033122,3
ENSMUSG00000033124,91
ENSMUSG00000033126,87
ENSMUSG00000033128,91
ENSMUSG00000033147,89
ENSMUSG00000033149,75
ENSMUSG00000033152,62
ENSMUSG00000033156,1
ENSMUSG00000033157,91
ENSMUSG00000033161,91
ENSMUSG00000033166,91
ENSMUSG00000033170,67
ENSMUSG00000033174,78
ENSMUSG00000033177,1
ENSMUSG00000033182,16
ENSMUSG00000033184,91
ENSMUSG00000033186,91
ENSMUSG00000033187,23
ENSMUSG00000033191,65
ENSMUSG00000033192,76
ENSMUSG00000033196,16
ENSMUSG00000033200,13
ENSMUSG00000033207,50
ENSMUSG00000033208,51
ENSMUSG00000033209,73
ENSMUSG00000033213,40
ENSMUSG00000033214,32
ENSMUSG00000033216,91
ENSMUSG00000033220,79
ENSMUSG00000033222,88
ENSMUSG00000033227,35
ENSMUSG00000033228,91
ENSMUSG00000033233,75
ENSMUSG00000033237,90
ENSMUSG00000033249,45
ENSMUSG00000033253,91
ENSMUSG00000033255,5
ENSMUSG00000033256,87
ENSMUSG00000033257,91
ENSMUSG00000033272,91
ENSMUSG00000033276,69
ENSMUSG00000033278,77
ENSMUSG00000033282,86
ENSMUSG00000033285,91
ENSMUSG00000033287,84
ENSMUSG00000033294,91
ENSMUSG00000033295,82
ENSMUSG00000033306,91
ENSMUSG00000033307,91
ENSMUSG00000033308,73
ENSMUSG00000033313,73
ENSMUSG00000033316,21
ENSMUSG00000033318,81
ENSMUSG00000033319,91
ENSMUSG00000033323,91
ENSMUSG00000033326,91
ENSMUSG00000033335,91
ENSMUSG00000033342,26
ENSMUSG00000033350,78
ENSMUSG00000033352,91
ENSMUSG00000033355,85
ENSMUSG00000033356,85
ENSMUSG00000033361,60
ENSMUSG00000033364,91
ENSMUSG00000033365,91
ENSMUSG00000033368,1
ENSMUSG00000033373,90
ENSMUSG00000033377,66
ENSMUSG00000033379,91
ENSMUSG00000033382,91
ENSMUSG00000033386,77
ENSMUSG00000033389,72
ENSMUSG00000033392,91
ENSMUSG00000033400,89
ENSMUSG00000033409,1
ENSMUSG00000033411,91
ENSMUSG00000033419,45
ENSMUSG00000033420,74
ENSMUSG00000033423,91
ENSMUSG00000033427,21
ENSMUSG00000033429,91
ENSMUSG00000033430,91
ENSMUSG00000033434,91
ENSMUSG00000033436,83
ENSMUSG00000033444,91
ENSMUSG00000033446,91
ENSMUSG00000033450,47
ENSMUSG00000033453,60
ENSMUSG00000033454,91
ENSMUSG00000033458,90
ENSMUSG00000033460,84
ENSMUSG00000033467,90
ENSMUSG00000033470,10
ENSMUSG00000033475,91
ENSMUSG00000033478,91
ENSMUSG00000033486,23
ENSMUSG00000033487,91
ENSMUSG00000033488,83
ENSMUSG00000033491,51
ENSMUSG00000033498,2
ENSMUSG00000033499,91
ENSMUSG00000033501,6
ENSMUSG00000033502,90
ENSMUSG00000033510,21
ENSMUSG00000033526,89
ENSMUSG00000033530,91
ENSMUSG00000033533,10
ENSMUSG00000033538,63
ENSMUSG00000033540,89
ENSMUSG00000033542,69
ENSMUSG00000033543,91
ENSMUSG00000033544,36
ENSMUSG00000033545,91
ENSMUSG00000033554,91
ENSMUSG00000033557,91
ENSMUSG00000033565,82
ENSMUSG00000033569,42
ENSMUSG00000033576,15
ENSMUSG00000033577,87
ENSMUSG00000033578,59
ENSMUSG00000033579,41
ENSMUSG00000033581,57
ENSMUSG00000033585,74
ENSMUSG00000033589,91
ENSMUSG00000033590,40
ENSMUSG00000033594,87
ENSMUSG00000033595,48
ENSMUSG00000033597,37
ENSMUSG00000033610,72
ENSMUSG00000033615,36
ENSMUSG00000033623,91
ENSMUSG00000033628,91
ENSMUSG00000033629,91
ENSMUSG00000033632,91
ENSMUSG00000033633,10
ENSMUSG00000033634,11
ENSMUSG00000033644,3
ENSMUSG00000033653,91
ENSMUSG00000033658,91
ENSMUSG00000033669,87
ENSMUSG00000033671,91
ENSMUSG00000033676,41
ENSMUSG00000033684,91
ENSMUSG00000033685,91
ENSMUSG00000033688,57
ENSMUSG00000033697,91
ENSMUSG00000033701,91
ENSMUSG00000033703,87
ENSMUSG00000033706,89
ENSMUSG00000033707,29
ENSMUSG00000033713,91
ENSMUSG00000033715,49
ENSMUSG00000033717,60
ENSMUSG00000033720,88
ENSMUSG00000033721,84
ENSMUSG00000033722,4
ENSMUSG00000033726,11
ENSMUSG00000033728,91
ENSMUSG00000033730,17
ENSMUSG00000033731,18
ENSMUSG00000033732,91
ENSMUSG00000033735,91
ENSMUSG00000033737,20
ENSMUSG00000033739,91
ENSMUSG00000033740,27
ENSMUSG00000033751,91
ENSMUSG00000033752,62
ENSMUSG00000033760,91
ENSMUSG00000033762,28
ENSMUSG00000033763,75
ENSMUSG00000033767,91
ENSMUSG00000033768,66
ENSMUSG00000033769,91
ENSMUSG00000033770,4
ENSMUSG00000033773,89
ENSMUSG00000033777,42
ENSMUSG00000033781,91
ENSMUSG00000033788,70
ENSMUSG00000033790,91
ENSMUSG00000033792,91
ENSMUSG00000033793,91
ENSMUSG00000033794,1
ENSMUSG00000033799,91
ENSMUSG00000033805,14
ENSMUSG00000033808,91
ENSMUSG00000033809,91
ENSMUSG00000033813,91
ENSMUSG00000033819,91
ENSMUSG00000033825,8
ENSMUSG00000033831,26
ENSMUSG00000033834,3
ENSMUSG00000033837,1
ENSMUSG00000033845,91
ENSMUSG00000033847,8
ENSMUSG00000033849,50
ENSMUSG00000033854,27
ENSMUSG00000033855,83
ENSMUSG00000033857,91
ENSMUSG00000033860,28
ENSMUSG00000033862,91
ENSMUSG00000033863,88
ENSMUSG00000033871,84
ENSMUSG00000033880,87
ENSMUSG00000033882,21
ENSMUSG00000033883,90
ENSMUSG00000033885,91
ENSMUSG00000033898,11
ENSMUSG00000033902,91
ENSMUSG00000033906,80
ENSMUSG00000033909,91
ENSMUSG00000033910,69
ENSMUSG00000033916,91
ENSMUSG00000033917,91
ENSMUSG00000033918,91
ENSMUSG00000033931,91
ENSMUSG00000033933,91
ENSMUSG00000033938,91
ENSMUSG00000033943,91
ENSMUSG00000033948,42
ENSMUSG00000033949,64
ENSMUSG00000033952,64
ENSMUSG00000033953,91
ENSMUSG00000033955,89
ENSMUSG00000033960,78
ENSMUSG00000033961,91
ENSMUSG00000033964,91
ENSMUSG00000033965,74
ENSMUSG00000033967,10
ENSMUSG00000033970,91
ENSMUSG00000033981,37
ENSMUSG00000033983,90
ENSMUSG00000033985,89
ENSMUSG00000033991,91
ENSMUSG00000033998,63
ENSMUSG00000034000,11
ENSMUSG00000034006,90
ENSMUSG00000034007,91
ENSMUSG00000034009,20
ENSMUSG00000034021,90
ENSMUSG00000034022,91
ENSMUSG00000034023,43
ENSMUSG00000034024,91
ENSMUSG00000034028,18
ENSMUSG00000034031,3
ENSMUSG00000034032,91
ENSMUSG00000034035,8
ENSMUSG00000034037,61
ENSMUSG00000034039,1
ENSMUSG00000034040,58
ENSMUSG00000034041,71
ENSMUSG00000034042,91
ENSMUSG00000034055,85
ENSMUSG00000034059,65
ENSMUSG00000034063,1
ENSMUSG00000034064,91
ENSMUSG00000034066,87
ENSMUSG00000034075,91
ENSMUSG00000034087,0
ENSMUSG00000034088,91
ENSMUSG00000034098,28
ENSMUSG00000034101,86
ENSMUSG00000034107,15
ENSMUSG00000034108,91
ENSMUSG00000034109,91
ENSMUSG00000034110,76
ENSMUSG00000034111,88
ENSMUSG00000034112,24
ENSMUSG00000034116,65
ENSMUSG00000034117,11
ENSMUSG00000034118,86
ENSMUSG00000034120,91
ENSMUSG00000034121,88
ENSMUSG00000034126,1
ENSMUSG00000034127,48
ENSMUSG00000034135,91
ENSMUSG00000034139,9
ENSMUSG00000034145,26
ENSMUSG00000034151,14
ENSMUSG00000034152,91
ENSMUSG00000034154,91
ENSMUSG00000034156,29
ENSMUSG00000034157,91
ENSMUSG00000034158,91
ENSMUSG00000034159,12
ENSMUSG00000034160,91
ENSMUSG00000034161,57
ENSMUSG00000034163,91
ENSMUSG00000034164,74
ENSMUSG00000034165,91
ENSMUSG00000034171,81
ENSMUSG00000034173,66
ENSMUSG00000034175,90
ENSMUSG00000034177,64
ENSMUSG00000034187,91
ENSMUSG00000034189,91
ENSMUSG00000034190,91
ENSMUSG00000034192,91
ENSMUSG00000034194,88
ENSMUSG00000034201,86
ENSMUSG00000034203,91
ENSMUSG00000034205,70
ENSMUSG00000034206,36
ENSMUSG00000034209,20
ENSMUSG00000034211,91
ENSMUSG00000034212,1
ENSMUSG00000034216,91
ENSMUSG00000034218,90
ENSMUSG00000034220,88
ENSMUSG00000034224,1
ENSMUSG00000034226,56
ENSMUSG00000034227,38
ENSMUSG00000034235,22
ENSMUSG00000034239,1
ENSMUSG00000034243,91
ENSMUSG00000034245,82
ENSMUSG00000034247,91
ENSMUSG00000034248,91
ENSMUSG00000034252,91
ENSMUSG00000034254,91
ENSMUSG00000034255,86
ENSMUSG00000034258,64
ENSMUSG00000034259,91
ENSMUSG00000034265,84
ENSMUSG00000034266,47
ENSMUSG00000034269,91
ENSMUSG00000034271,87
ENSMUSG00000034274,91
ENSMUSG00000034275,67
ENSMUSG00000034278,91
ENSMUSG00000034282,40
ENSMUSG00000034285,89
ENSMUSG00000034290,91
ENSMUSG00000034292,88
ENSMUSG00000034295,64
ENSMUSG00000034297,36
ENSMUSG00000034300,91
ENSMUSG00000034303,87
ENSMUSG00000034308,77
ENSMUSG00000034310,22
ENSMUSG00000034311,60
ENSMUSG00000034312,90
ENSMUSG00000034317,88
ENSMUSG00000034320,91
ENSMUSG00000034321,90
ENSMUSG00000034324,51
ENSMUSG00000034327,14
ENSMUSG00000034329,61
ENSMUSG00000034330,77
ENSMUSG00000034334,89
ENSMUSG00000034336,32
ENSMUSG00000034341,91
ENSMUSG00000034342,91
ENSMUSG00000034343,91
ENSMUSG00000034345,91
ENSMUSG00000034349,89
ENSMUSG00000034353,83
ENSMUSG00000034354,91
ENSMUSG00000034361,87
ENSMUSG00000034362,7
ENSMUSG00000034371,91
ENSMUSG00000034377,90
ENSMUSG00000034379,86
ENSMUSG00000034382,37
ENSMUSG00000034384,12
ENSMUSG00000034394,20
ENSMUSG00000034401,88
ENSMUSG00000034402,21
ENSMUSG00000034403,91
ENSMUSG00000034412,91
ENSMUSG00000034413,75
ENSMUSG00000034422,81
ENSMUSG00000034424,90
ENSMUSG00000034429,91
ENSMUSG00000034430,91
ENSMUSG00000034432,91
ENSMUSG00000034435,47
ENSMUSG00000034442,91
ENSMUSG00000034449,89
ENSMUSG00000034450,11
ENSMUSG00000034452,1
ENSMUSG00000034453,91
ENSMUSG00000034456,11
ENSMUSG00000034457,43
ENSMUSG00000034459,73
ENSMUSG00000034460,20
ENSMUSG00000034462,82
ENSMUSG00000034463,68
ENSMUSG00000034467,30
ENSMUSG00000034471,83
ENSMUSG00000034472,23
ENSMUSG00000034473,91
ENSMUSG00000034480,91
ENSMUSG00000034482,2
ENSMUSG00000034484,91
ENSMUSG00000034485,77
ENSMUSG00000034486,14
ENSMUSG00000034487,86
ENSMUSG00000034488,62
ENSMUSG00000034509,91
ENSMUSG00000034518,91
ENSMUSG00000034520,65
ENSMUSG00000034522,91
ENSMUSG00000034525,91
ENSMUSG00000034528,19
ENSMUSG00000034532,45
ENSMUSG00000034538,76
ENSMUSG00000034543,91
ENSMUSG00000034544,91
ENSMUSG00000034551,52
ENSMUSG00000034552,1
ENSMUSG00000034557,81
ENSMUSG00000034560,91
ENSMUSG00000034563,91
ENSMUSG00000034566,91
ENSMUSG00000034570,56
ENSMUSG00000034573,77
ENSMUSG00000034574,91
ENSMUSG00000034575,90
ENSMUSG00000034579,17
ENSMUSG00000034584,50
ENSMUSG00000034587,83
ENSMUSG00000034591,72
ENSMUSG00000034593,86
ENSMUSG00000034595,88
ENSMUSG00000034601,90
ENSMUSG00000034602,91
ENSMUSG00000034607,30
ENSMUSG00000034610,91
ENSMUSG00000034612,85
ENSMUSG00000034613,88
ENSMUSG00000034614,86
ENSMUSG00000034616,87
ENSMUSG00000034617,87
ENSMUSG00000034620,91
ENSMUSG00000034621,91
ENSMUSG00000034623,1
ENSMUSG00000034634,50
ENSMUSG00000034636,91
ENSMUSG00000034639,75
ENSMUSG00000034640,91
ENSMUSG00000034641,34
ENSMUSG00000034645,14
ENSMUSG00000034647,91
ENSMUSG00000034648,59
ENSMUSG00000034652,49
ENSMUSG00000034653,91
ENSMUSG00000034656,87
ENSMUSG00000034659,91
ENSMUSG00000034663,91
ENSMUSG00000034664,19
ENSMUSG00000034667,91
ENSMUSG00000034673,91
ENSMUSG00000034675,77
ENSMUSG00000034681,91
ENSMUSG00000034683,5
ENSMUSG00000034684,78
ENSMUSG00000034685,72
ENSMUSG00000034686,62
ENSMUSG00000034687,54
ENSMUSG00000034689,1
ENSMUSG00000034690,1
ENSMUSG00000034701,31
ENSMUSG00000034706,15
ENSMUSG00000034707,91
ENSMUSG00000034708,91
ENSMUSG00000034714,85
ENSMUSG00000034723,91
ENSMUSG00000034724,91
ENSMUSG00000034729,91
ENSMUSG00000034730,38
ENSMUSG00000034731,4
ENSMUSG00000034738,65
ENSMUSG00000034739,12
ENSMUSG00000034744,90
ENSMUSG00000034748,91
ENSMUSG00000034751,89
ENSMUSG00000034755,39
ENSMUSG00000034757,91
ENSMUSG00000034758,42
ENSMUSG00000034761,91
ENSMUSG00000034762,18
ENSMUSG00000034765,81
ENSMUSG00000034768,6
ENSMUSG00000034771,81
ENSMUSG00000034773,52
ENSMUSG00000034777,6
ENSMUSG00000034781,90
ENSMUSG00000034783,2
ENSMUSG00000034785,21
ENSMUSG00000034786,84
ENSMUSG00000034789,91
ENSMUSG00000034792,43
ENSMUSG00000034793,91
ENSMUSG00000034795,84
ENSMUSG00000034796,19
ENSMUSG00000034799,46
ENSMUSG00000034800,79
ENSMUSG00000034801,91
ENSMUSG00000034810,51
ENSMUSG00000034813,1
ENSMUSG00000034818,31
ENSMUSG00000034820,91
ENSMUSG00000034825,44
ENSMUSG00000034826,91
ENSMUSG00000034832,87
ENSMUSG00000034837,1
ENSMUSG00000034839,46
ENSMUSG00000034842,52
ENSMUSG00000034845,52
ENSMUSG00000034848,89
ENSMUSG00000034850,91
ENSMUSG00000034853,78
ENSMUSG00000034855,77
ENSMUSG00000034863,89
ENSMUSG00000034867,91
ENSMUSG00000034868,91
ENSMUSG00000034871,12
ENSMUSG00000034872,3
ENSMUSG00000034875,91
ENSMUSG00000034880,91
ENSMUSG00000034881,36
ENSMUSG00000034883,48
ENSMUSG00000034891,30
ENSMUSG00000034893,91
ENSMUSG00000034898,60
ENSMUSG00000034902,91
ENSMUSG00000034903,89
ENSMUSG00000034906,79
ENSMUSG00000034908,91
ENSMUSG00000034910,57
ENSMUSG00000034911,58
ENSMUSG00000034912,28
ENSMUSG00000034913,2
ENSMUSG00000034917,42
ENSMUSG00000034918,19
ENSMUSG00000034919,22
ENSMUSG00000034923,3
ENSMUSG00000034926,91
ENSMUSG00000034928,91
ENSMUSG00000034930,74
ENSMUSG00000034931,91
ENSMUSG00000034932,91
ENSMUSG00000034936,79
ENSMUSG00000034940,91
ENSMUSG00000034947,79
ENSMUSG00000034949,81
ENSMUSG00000034951,91
ENSMUSG00000034957,85
ENSMUSG00000034958,29
ENSMUSG00000034959,58
ENSMUSG00000034973,91
ENSMUSG00000034974,91
ENSMUSG00000034981,79
ENSMUSG00000034987,34
ENSMUSG00000034990,3
ENSMUSG00000034993,91
ENSMUSG00000034994,91
ENSMUSG00000034997,19
ENSMUSG00000034998,91
ENSMUSG00000035000,67
ENSMUSG00000035004,48
ENSMUSG00000035007,91
ENSMUSG00000035011,91
ENSMUSG00000035020,2
ENSMUSG00000035021,57
ENSMUSG00000035024,88
ENSMUSG00000035027,91
ENSMUSG00000035031,6
ENSMUSG00000035032,22
ENSMUSG00000035033,11
ENSMUSG00000035041,22
ENSMUSG00000035042,67
ENSMUSG00000035045,70
ENSMUSG00000035048,91
ENSMUSG00000035049,91
ENSMUSG00000035051,91
ENSMUSG00000035057,1
ENSMUSG00000035062,79
ENSMUSG00000035064,91
ENSMUSG00000035067,67
ENSMUSG00000035069,91
ENSMUSG00000035078,91
ENSMUSG00000035085,1
ENSMUSG00000035086,91
ENSMUSG00000035093,91
ENSMUSG00000035095,31
ENSMUSG00000035105,84
ENSMUSG00000035107,76
ENSMUSG00000035109,19
ENSMUSG00000035112,66
ENSMUSG00000035126,78
ENSMUSG00000035133,88
ENSMUSG00000035139,91
ENSMUSG00000035142,90
ENSMUSG00000035150,91
ENSMUSG00000035151,91
ENSMUSG00000035152,91
ENSMUSG00000035158,74
ENSMUSG00000035161,91
ENSMUSG00000035164,80
ENSMUSG00000035165,44
ENSMUSG00000035168,89
ENSMUSG00000035171,91
ENSMUSG00000035172,81
ENSMUSG00000035173,91
ENSMUSG00000035179,23
ENSMUSG00000035181,91
ENSMUSG00000035183,18
ENSMUSG00000035184,68
ENSMUSG00000035186,18
ENSMUSG00000035187,7
ENSMUSG00000035189,24
ENSMUSG00000035198,91
ENSMUSG00000035199,91
ENSMUSG00000035200,26
ENSMUSG00000035202,91
ENSMUSG00000035203,91
ENSMUSG00000035211,2
ENSMUSG00000035212,91
ENSMUSG00000035226,22
ENSMUSG00000035227,91
ENSMUSG00000035228,41
ENSMUSG00000035232,90
ENSMUSG00000035234,91
ENSMUSG00000035235,81
ENSMUSG00000035236,91
ENSMUSG00000035237,31
ENSMUSG00000035239,65
ENSMUSG00000035242,83
ENSMUSG00000035246,43
ENSMUSG00000035247,91
ENSMUSG00000035248,91
ENSMUSG00000035258,63
ENSMUSG00000035262,8
ENSMUSG00000035266,89
ENSMUSG00000035270,1
ENSMUSG00000035273,59
ENSMUSG00000035274,75
ENSMUSG00000035275,61
ENSMUSG00000035277,28
ENSMUSG00000035278,91
ENSMUSG00000035283,44
ENSMUSG00000035284,91
ENSMUSG00000035285,51
ENSMUSG00000035293,90
ENSMUSG00000035295,4
ENSMUSG00000035296,21
ENSMUSG00000035297,91
ENSMUSG00000035298,5
ENSMUSG00000035299,85
ENSMUSG00000035305,64
ENSMUSG00000035310,91
ENSMUSG00000035311,91
ENSMUSG00000035314,78
ENSMUSG00000035325,91
ENSMUSG00000035329,91
ENSMUSG00000035342,86
ENSMUSG00000035349,28
ENSMUSG00000035352,53
ENSMUSG00000035354,91
ENSMUSG00000035355,14
ENSMUSG00000035356,91
ENSMUSG00000035357,67
ENSMUSG00000035367,89
ENSMUSG00000035370,91
ENSMUSG00000035372,91
ENSMUSG00000035373,44
ENSMUSG00000035376,91
ENSMUSG00000035378,89
ENSMUSG00000035382,91
ENSMUSG00000035383,8
ENSMUSG00000035385,39
ENSMUSG00000035390,48
ENSMUSG00000035392,91
ENSMUSG00000035394,12
ENSMUSG00000035397,91
ENSMUSG00000035401,91
ENSMUSG00000035403,24
ENSMUSG00000035407,52
ENSMUSG00000035413,83
ENSMUSG00000035420,1
ENSMUSG00000035429,13
ENSMUSG00000035435,1
ENSMUSG00000035437,91
ENSMUSG00000035439,91
ENSMUSG00000035441,86
ENSMUSG00000035443,91
ENSMUSG00000035448,12
ENSMUSG00000035451,29
ENSMUSG00000035455,71
ENSMUSG00000035456,22
ENSMUSG00000035458,14
ENSMUSG00000035459,22
ENSMUSG00000035469,90
ENSMUSG00000035472,22
ENSMUSG00000035473,77
ENSMUSG00000035476,84
ENSMUSG00000035478,91
ENSMUSG00000035486,18
ENSMUSG00000035491,1
ENSMUSG00000035493,87
ENSMUSG00000035495,91
ENSMUSG00000035498,41
ENSMUSG00000035504,74
ENSMUSG00000035505,91
ENSMUSG00000035506,17
ENSMUSG00000035509,74
ENSMUSG00000035513,14
ENSMUSG00000035517,89
ENSMUSG00000035521,91
ENSMUSG00000035522,2
ENSMUSG00000035529,91
ENSMUSG00000035530,35
ENSMUSG00000035539,5
ENSMUSG00000035540,26
ENSMUSG00000035545,91
ENSMUSG00000035547,85
ENSMUSG00000035551,28
ENSMUSG00000035557,25
ENSMUSG00000035559,91
ENSMUSG00000035560,1
ENSMUSG00000035561,81
ENSMUSG00000035566,60
ENSMUSG00000035569,91
ENSMUSG00000035572,91
ENSMUSG00000035575,91
ENSMUSG00000035576,16
ENSMUSG00000035578,32
ENSMUSG00000035580,11
ENSMUSG00000035582,1
ENSMUSG00000035585,91
ENSMUSG00000035592,3
ENSMUSG00000035594,7
ENSMUSG00000035595,86
ENSMUSG00000035596,91
ENSMUSG00000035597,91
ENSMUSG00000035606,31
ENSMUSG00000035614,91
ENSMUSG00000035615,30
ENSMUSG00000035620,90
ENSMUSG00000035621,91
ENSMUSG00000035623,91
ENSMUSG00000035629,91
ENSMUSG00000035632,91
ENSMUSG00000035637,91
ENSMUSG00000035638,15
ENSMUSG00000035640,78
ENSMUSG00000035649,91
ENSMUSG00000035651,1
ENSMUSG00000035653,24
ENSMUSG00000035666,90
ENSMUSG00000035671,91
ENSMUSG00000035673,91
ENSMUSG00000035674,91
ENSMUSG00000035678,56
ENSMUSG00000035683,69
ENSMUSG00000035686,60
ENSMUSG00000035692,56
ENSMUSG00000035696,91
ENSMUSG00000035697,73
ENSMUSG00000035704,91
ENSMUSG00000035711,41
ENSMUSG00000035722,91
ENSMUSG00000035725,91
ENSMUSG00000035735,72
ENSMUSG00000035754,91
ENSMUSG00000035759,69
ENSMUSG00000035762,91
ENSMUSG00000035764,91
ENSMUSG00000035765,91
ENSMUSG00000035769,82
ENSMUSG00000035770,91
ENSMUSG00000035772,91
ENSMUSG00000035773,50
ENSMUSG00000035775,20
ENSMUSG00000035776,89
ENSMUSG00000035778,84
ENSMUSG00000035780,12
ENSMUSG00000035783,72
ENSMUSG00000035785,1
ENSMUSG00000035798,90
ENSMUSG00000035799,59
ENSMUSG00000035804,13
ENSMUSG00000035805,27
ENSMUSG00000035811,18
ENSMUSG00000035824,91
ENSMUSG00000035828,91
ENSMUSG00000035829,43
ENSMUSG00000035831,4
ENSMUSG00000035834,90
ENSMUSG00000035835,69
ENSMUSG00000035836,4
ENSMUSG00000035840,91
ENSMUSG00000035842,79
ENSMUSG00000035845,91
ENSMUSG00000035847,90
ENSMUSG00000035849,26
ENSMUSG00000035851,91
ENSMUSG00000035860,14
ENSMUSG00000035861,5
ENSMUSG00000035863,84
ENSMUSG00000035864,50
ENSMUSG00000035873,79
ENSMUSG00000035875,5
ENSMUSG00000035877,91
ENSMUSG00000035885,91
ENSMUSG00000035890,91
ENSMUSG00000035891,91
ENSMUSG00000035896,43
ENSMUSG00000035898,91
ENSMUSG00000035900,91
ENSMUSG00000035901,89
ENSMUSG00000035910,25
ENSMUSG00000035914,64
ENSMUSG00000035916,8
ENSMUSG00000035919,90
ENSMUSG00000035923,7
ENSMUSG00000035929,86
ENSMUSG00000035930,25
ENSMUSG00000035933,91
ENSMUSG00000035934,70
ENSMUSG00000035936,82
ENSMUSG00000035941,91
ENSMUSG00000035944,91
ENSMUSG00000035946,4
ENSMUSG00000035948,57
ENSMUSG00000035949,91
ENSMUSG00000035951,1
ENSMUSG00000035953,91
ENSMUSG00000035954,87
ENSMUSG00000035958,91
ENSMUSG00000035960,91
ENSMUSG00000035963,4
ENSMUSG00000035964,49
ENSMUSG00000035967,85
ENSMUSG00000035969,76
ENSMUSG00000035983,1
ENSMUSG00000035984,44
ENSMUSG00000035992,91
ENSMUSG00000036006,82
ENSMUSG00000036013,1
ENSMUSG00000036019,82
ENSMUSG00000036022,89
ENSMUSG00000036023,91
ENSMUSG00000036026,91
ENSMUSG00000036027,9
ENSMUSG00000036036,65
ENSMUSG00000036040,34
ENSMUSG00000036046,91
ENSMUSG00000036052,91
ENSMUSG00000036053,82
ENSMUSG00000036054,91
ENSMUSG00000036057,91
ENSMUSG00000036061,87
ENSMUSG00000036062,40
ENSMUSG00000036067,68
ENSMUSG00000036073,91
ENSMUSG00000036078,91
ENSMUSG00000036083,5
ENSMUSG00000036086,82
ENSMUSG00000036087,91
ENSMUSG00000036091,91
ENSMUSG00000036093,91
ENSMUSG00000036095,52
ENSMUSG00000036097,91
ENSMUSG00000036099,91
ENSMUSG00000036103,74
ENSMUSG00000036104,91
ENSMUSG00000036106,87
ENSMUSG00000036109,60
ENSMUSG00000036110,7
ENSMUSG00000036111,17
ENSMUSG00000036112,91
ENSMUSG00000036117,1
ENSMUSG00000036123,24
ENSMUSG00000036131,1
ENSMUSG00000036136,51
ENSMUSG00000036138,91
ENSMUSG00000036144,38
ENSMUSG00000036151,18
ENSMUSG00000036155,91
ENSMUSG00000036158,75
ENSMUSG00000036160,91
ENSMUSG00000036167,91
ENSMUSG00000036168,2
ENSMUSG00000036169,45
ENSMUSG00000036172,2
ENSMUSG00000036180,91
ENSMUSG00000036181,91
ENSMUSG00000036186,70
ENSMUSG00000036188,90
ENSMUSG00000036192,50
