"","baseMean","baseVar","allZero","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","dispMAP"
"Gpr157",9.27035004247411,343.231839691853,FALSE,1.67023035108509,14.0373259348712,1.67884827724451,12,FALSE,1.67884827724451
"Gpr158",23.9386678163197,5461.64876643362,FALSE,16.2653857733893,5.97238160798073,16.1879283544036,11,FALSE,16.1879283544036
"Gpr160",33.968953620538,9686.05921651165,FALSE,3.26741797575409,4.46734059105529,3.2690416556849,11,FALSE,3.2690416556849
"Gpr162",76.7386303470356,22473.164369163,FALSE,3.74123877335441,2.46537351745017,3.73845841912263,13,FALSE,3.73845841912263
"Gpr165",12.4842323945621,1358.12926260076,FALSE,6.20414443937327,10.6489688502934,6.21405884343336,9,FALSE,6.21405884343336
"Gpr17",28.0810775041791,7111.50317921298,FALSE,8.7208034844211,5.22048785324514,8.70713535147225,10,FALSE,8.70713535147225
"Gpr171",29.8868529705816,11393.9025100306,FALSE,7.0205177109597,4.95795299919696,7.01413173618296,10,FALSE,7.01413173618296
"Gpr172b",80.6273036631218,8008.79689858139,FALSE,0.543583163015474,2.38868639262643,0.54525975378468,14,FALSE,0.54525975378468
"Gpr173",17.7935434159979,405.993637322889,FALSE,1.81443910368349,7.73267651999422,1.82137695267031,10,FALSE,1.82137695267031
"Gpr174",20.4919609660191,8235.44844743695,FALSE,10.3835803755387,6.82969187408029,10.3691196583184,11,FALSE,10.3691196583184
"Gpr176",7.92203848499076,648.397662775664,FALSE,3.70389345932292,16.2774617599996,3.71862602489619,10,FALSE,3.71862602489619
"Gpr179",1.08651916095362,14.884637038527,FALSE,10.3137353927639,113.175359134177,10.5310023407466,13,FALSE,10.5310023407466
"Gpr18",47.287454843234,34484.8447891558,FALSE,7.962441995073,3.45565766271949,7.94544264428134,10,FALSE,7.94544264428134
"Gpr180",86.2361879028324,1443.36865626592,FALSE,0.190587564698328,2.29025764358526,0.191835073390664,14,FALSE,0.191835073390664
"Gpr182",87.4077780977667,55883.0183473577,FALSE,3.3619088654085,2.27129262498822,3.35934954643538,13,FALSE,3.35934954643538
"Gpr183",53.2043096190857,52797.1431025783,FALSE,3.22535541030056,3.16870164707262,3.22518488438293,8,FALSE,3.22518488438293
"Gpr19",24.3440181634109,582.069843045085,FALSE,0.601334504939179,5.88751135771856,0.604740523341566,12,FALSE,0.604740523341566
"Gpr20",2.9814698372302,46.7311841337692,FALSE,3.45154505375899,41.8001693836129,3.48582680942675,17,FALSE,3.48582680942675
"Gpr21",13.3569907073,968.411438542239,FALSE,3.54389366542798,10.0103515184047,3.55336003718235,10,FALSE,3.55336003718235
"Gpr22",37.5201684746397,9259.88421911678,FALSE,7.54627539121962,4.1273654403196,7.53378267316502,9,FALSE,7.53378267316502
"Gpr25",0.525404911199841,4.69934561825564,FALSE,19.8438753972017,233.107878177365,20.6186403070298,13,FALSE,20.6186403070298
"Gpr26",3.867018612548,179.155611954289,FALSE,23.0422429397537,32.4283700810159,23.1033368715035,9,FALSE,23.1033368715035
"Gpr27",6.44667096375183,138.186434417292,FALSE,2.19027317348319,19.8023466702699,2.20458259185832,11,FALSE,2.20458259185832
"Gpr3",1.32215654979358,14.2393901312712,FALSE,7.66266149275003,93.1610268191116,7.7998223197603,14,FALSE,7.7998223197603
"Gpr30",15.5715489910567,839.996901209574,FALSE,1.96877094938454,8.71118790130715,1.97572610744429,11,FALSE,1.97572610744429
"Gpr34",5.323238298489,85.4751076087214,FALSE,2.09418313314594,23.7967582316102,2.11102695409274,16,FALSE,2.11102695409274
"Gpr35",1.44067378442404,10.9237609365918,FALSE,2.95179472086199,85.5691325608126,3.01070071929846,12,FALSE,3.01070071929846
"Gpr37",29.3664552121435,9561.44506733341,FALSE,7.56025065649152,5.03030005781359,7.5519503234298,9,FALSE,7.5519503234298
"Gpr37l1",98.368937487619,86768.3137801687,FALSE,10.5799425281997,2.11574420387027,10.5339864473597,10,FALSE,10.5339864473597
"Gpr39",17.3864244216067,2409.16174916761,FALSE,4.69637444917452,7.893247042669,4.70290882086711,10,FALSE,4.70290882086711
"Gpr4",19.9704303038186,808.598747683223,FALSE,1.27792683480472,6.98519032948704,1.2832088738514,12,FALSE,1.2832088738514
"Gpr44",2.92219532647871,62.79515277113,FALSE,3.4667829119067,42.6302982029553,3.49938546282291,14,FALSE,3.49938546282291
"Gpr45",13.0674669474982,447.880355474097,FALSE,2.08270542543884,10.2127472508728,2.09113289869575,11,FALSE,2.09113289869575
"Gpr50",6.93580514212969,1259.6251728637,FALSE,4.5196559077556,18.4675571208797,4.53843551831113,9,FALSE,4.53843551831113
"Gpr52",0.335316222280514,18.4404541167436,FALSE,65.9120994350588,364.75905871328,69.9388363523108,10,FALSE,69.9388363523108
"Gpr55",7.25407836260339,774.30324530465,FALSE,8.5464331756612,17.6956978093499,8.57056126755365,12,FALSE,8.57056126755365
"Gpr56",254.46859176195,136495.896481875,FALSE,1.4476586093099,1.3548453155491,1.44738399215274,8,FALSE,1.44738399215274
"Gpr6",3.65805579086845,378.62437090665,FALSE,15.6511847664174,34.2308050812594,15.7326825421209,11,FALSE,15.7326825421209
"Gpr61",7.69365090849458,435.5323627553,FALSE,10.679484251464,16.7346765039098,10.6992125478175,10,FALSE,10.6992125478175
"Gpr62",3.32297397819073,148.784032554291,FALSE,22.1850881902773,37.5942999247962,22.2845983976679,12,FALSE,22.2845983976679
"Gpr64",15.2094276610541,12440.4224511384,FALSE,2.92158166926075,8.89775136405422,2.92925251579806,12,FALSE,2.92925251579806
"Gpr65",26.3457422215525,4149.61505175061,FALSE,3.23389242837735,5.50669229256504,3.23736493862458,11,FALSE,3.23736493862458
"Gpr68",3.12521993399902,113.923148734876,FALSE,3.72953738456203,39.9177589767003,3.76349159596198,15,FALSE,3.76349159596198
"Gpr75",3.84985715213058,85.0788301498265,FALSE,6.53530529632232,32.5690235799975,6.58515348727476,11,FALSE,6.58515348727476
"Gpr77",1.31522299299726,47.8675814327302,FALSE,5.0344892278265,93.6475359316779,5.12792123654992,14,FALSE,5.12792123654992
"Gpr81",2.64439428788142,52.069562045162,FALSE,2.64670605510921,47.0167724920998,2.67746355795553,14,FALSE,2.67746355795553
"Gpr82",1.66369913832609,705.986210798649,FALSE,109.686470236229,74.2156011115058,108.452738081522,10,FALSE,108.452738081522
"Gpr83",10.4652367064383,5329.91477336898,FALSE,6.74435235244918,12.5345345373276,6.75774266418774,10,FALSE,6.75774266418774
"Gpr84",8.29102199985548,1552.26997434936,FALSE,5.64059358829463,15.592006484217,5.65719961780575,9,FALSE,5.65719961780575
"Gpr85",18.5442874555865,1365.07397357485,FALSE,3.36793670886068,7.45506564489116,3.37334775723299,11,FALSE,3.37334775723299
"Gpr87",11.8920584695046,2220.96935156513,FALSE,20.8155129168056,11.1356534179242,20.7366766720981,10,FALSE,20.7366766720981
"Gpr88",18.1544805277093,16203.6862783018,FALSE,6.63024080359418,7.59634306365786,6.632634643136,9,FALSE,6.632634643136
"Gpr89",151.002067833181,4363.4918066037,FALSE,0.157053799724837,1.68339416676686,0.158010399648844,13,FALSE,0.158010399648844
"Gpr97",17.498343881697,6706.4236319022,FALSE,5.34071050920732,7.84836056182283,5.34604025258074,10,FALSE,5.34604025258074
"Gpr98",8.62085130696659,826.765150463771,FALSE,5.9741878080937,15.0289548857288,5.99197203131053,10,FALSE,5.99197203131053
"Gprasp1",64.6433368939071,7971.28178432476,FALSE,1.80504631671773,2.76287954883609,1.8065519341405,13,FALSE,1.8065519341405
"Gprasp2",29.4904616314117,2041.9146019949,FALSE,2.33676593268706,5.0128286361575,2.34028627581365,11,FALSE,2.34028627581365
"Gprc5a",150.691696055164,290922.027091285,FALSE,4.29185413078997,1.68505844979305,4.28505882134523,12,FALSE,4.28505882134523
"Gprc5b",97.7593816507346,25696.7012968979,FALSE,2.04619097488933,2.12347838329772,2.04641754319657,8,FALSE,2.04641754319657
"Gprc5c",39.6554661811619,3847.46967466485,FALSE,1.87656761509392,3.95225672197461,1.87941881841796,14,FALSE,1.87941881841796
"Gprc5d",28.3561681785058,87921.5673298258,FALSE,145.201185279496,5.17833453847104,145.201185279496,8,TRUE,134.924860782451
"Gprin1",33.8656532961503,6552.75215135078,FALSE,6.3182977923318,4.47829722704988,6.31269433075884,10,FALSE,6.31269433075884
"Gprin2",3.41715674073224,65.6316579822375,FALSE,3.2248912829911,36.5822620639516,3.25456240889333,13,FALSE,3.25456240889333
"Gprin3",57.0493761600986,8840.86603030897,FALSE,1.71620201295397,3.01413231746982,1.71801701954381,13,FALSE,1.71801701954381
"Gps1",82.5884173012693,8208.28130874699,FALSE,0.354041356682188,2.35275130937766,0.355638821402902,12,FALSE,0.355638821402902
"Gps2",156.789056450189,9242.01728427637,FALSE,0.187710477995124,1.65356980475438,0.188712139551896,12,FALSE,0.188712139551896
"Gpsm1",75.9789306546576,6686.97932772018,FALSE,0.901159332101011,2.481271862022,0.903012670267355,14,FALSE,0.903012670267355
"Gpsm2",97.3031149952466,5575.39980983864,FALSE,0.574943180155218,2.1293310085504,0.584292204901198,14,FALSE,0.584292204901198
"Gpsm3",121.023567870988,146731.567189197,FALSE,2.18939420437594,1.88355275388734,2.18926213874326,9,FALSE,2.18926213874326
"Gpt",76.160923679548,51036.7335488976,FALSE,9.14245702926651,2.47743437836192,9.11076328774718,10,FALSE,9.11076328774718
"Gpt2",125.561911173337,58723.4166680194,FALSE,1.37127043725641,1.84711205894249,1.37244072496709,10,FALSE,1.37244072496709
"Gpx1",3.03406749782833,35.4862415380688,FALSE,1.44857452587864,41.0907093332377,1.46898908799916,13,FALSE,1.46898908799916
"Gpx2",46.069082624861,21409.1021164347,FALSE,13.9738297797704,3.523898077677,13.9022419171761,12,FALSE,13.9022419171761
"Gpx2-ps1",22.4153099288032,12682.9029267723,FALSE,71.0329012031525,6.31877882519086,68.8014907894548,8,FALSE,68.8014907894548
"Gpx3",3412.21850963426,191122540.824517,FALSE,4.05254809105008,0.911110109707583,4.04359828814498,10,FALSE,4.04359828814498
"Gpx4",1095.89478124002,971762.9661685,FALSE,0.49415567040731,0.986690779817293,0.494682214903045,11,FALSE,0.494682214903045
"Gpx5",758.003064974444,144891200.245619,FALSE,252.172083576573,1.03632199395572,252.172083576573,9,TRUE,239.363524032895
"Gpx6",6.07846371330286,1321.6825522486,FALSE,26.7263564670948,20.9488628248427,26.684986621814,9,FALSE,26.684986621814
"Gpx7",101.328723625084,24096.0076861694,FALSE,1.66654718177516,2.07951265047358,1.6675033602765,10,FALSE,1.6675033602765
"Gpx8",187.726524263369,69997.6603816895,FALSE,2.01441447335523,1.5253188656545,2.01333116067123,13,FALSE,2.01333116067123
"Gramd1a",143.052117333934,19577.7758965382,FALSE,0.627599207755153,1.72830017120561,0.62890707577103,14,FALSE,0.62890707577103
"Gramd1b",118.92043186035,37983.6542734605,FALSE,1.77925752561677,1.90138303149916,1.77944697365315,8,FALSE,1.77944697365315
"Gramd1c",28.114251911831,2668.76583948282,FALSE,2.50075692862983,5.21536065568139,2.50469310737002,11,FALSE,2.50469310737002
"Gramd2",22.1464854584074,5347.72311709704,FALSE,4.63316537032035,6.38485370936549,4.63682314474946,10,FALSE,4.63682314474946
"Gramd3",212.524473404433,130882.863188131,FALSE,1.07617561984187,1.44947886079224,1.07702880579033,10,FALSE,1.07702880579033
"Gramd4",82.722105571252,4713.64722419691,FALSE,0.418546312291459,2.35036366438126,0.42026704231228,12,FALSE,0.42026704231228
"Grap",81.9888887264333,59901.3401275083,FALSE,2.53778748533586,2.3635545218849,2.53727913477995,8,FALSE,2.53727913477995
"Grap2",59.5422690762651,34512.9489315973,FALSE,5.25078293968059,2.92458666236695,5.24556998659198,11,FALSE,5.24556998659198
"Grasp",104.360457402932,17290.962616385,FALSE,0.844843450037911,2.04453104868933,0.845970078834117,11,FALSE,0.845970078834117
