"","sample","tissue","other","sampleGood","sizeFactor"
"sample128","counts.eyeball%2c%20embryo%20E14.CNhs10521.399-16E2","eyeball","embryo E14.CNhs10521.399-16E2","sample128",0.999228920127502
"sample129","counts.eyeball%2c%20embryo%20E15.CNhs10593.426-16C9","eyeball","embryo E15.CNhs10593.426-16C9","sample129",1.30386974978376
"sample130","counts.eyeball%2c%20embryo%20E17.CNhs11023.1261-18D4","eyeball","embryo E17.CNhs11023.1261-18D4","sample130",1.5940184088124
"sample131","counts.eyeball%2c%20neonate%20N00.CNhs11207.633-15C6","eyeball","neonate N00.CNhs11207.633-15C6","sample131",3.70124802866704
"sample132","counts.eyeball%2c%20neonate%20N01.CNhs11140.1532-43E7","eyeball","neonate N01.CNhs11140.1532-43E7","sample132",1.94773806610881
"sample133","counts.eyeball%2c%20neonate%20N02.CNhs11205.1551-44G8","eyeball","neonate N02.CNhs11205.1551-44G8","sample133",2.6612049032882
"sample134","counts.eyeball%2c%20neonate%20N16.CNhs11188.777-19A2","eyeball","neonate N16.CNhs11188.777-19A2","sample134",0.991984224929753
"sample135","counts.forelimb%2c%20embryo%20E11.CNhs10596.335-25E2","forelimb","embryo E11.CNhs10596.335-25E2","sample135",1.03283777917578
"sample136","counts.forelimb%2c%20embryo%20E12.CNhs10600.359-14H2","forelimb","embryo E12.CNhs10600.359-14H2","sample136",1.2612383530426
"sample137","counts.forelimb%2c%20embryo%20E13.CNhs10589.384-1E2","forelimb","embryo E13.CNhs10589.384-1E2","sample137",1.35636058261861
"sample138","counts.forelimb%2c%20embryo%20E14.CNhs10577.413-26A8","forelimb","embryo E14.CNhs10577.413-26A8","sample138",1.05850798025242
"sample139","counts.forelimb%2c%20embryo%20E15.CNhs11007.437-20E7","forelimb","embryo E15.CNhs11007.437-20E7","sample139",0.853264672056837
"sample140","counts.forelimb%2c%20embryo%20E17.CNhs10598.1517-43C4","forelimb","embryo E17.CNhs10598.1517-43C4","sample140",0.699170709940243
"sample141","counts.forelimb%2c%20embryo%20E18.CNhs11008.1520-43B5","forelimb","embryo E18.CNhs11008.1520-43B5","sample141",1.17434968391914
"sample142","counts.gonad%2c%20embryo%20E13.CNhs11044.1564-45I6","gonad","embryo E13.CNhs11044.1564-45I6","sample142",1.18204095774367
"sample143","counts.granulocyte%20macrophage%20progenitor%20GMP%2c%20biol_rep1.CNhs12206.12123-128C8","granulocyte macrophage progenitor GMP","biol_rep1.CNhs12206.12123-128C8","sample143",0.300668454806232
"sample144","counts.granulocyte%20macrophage%20progenitor%20GMP%2c%20biol_rep2.CNhs12202.12126-128D2","granulocyte macrophage progenitor GMP","biol_rep2.CNhs12202.12126-128D2","sample144",0.83325500851479
